,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域
36,耶鲁印象,110万,2室2厅1卫,97.66平米,11264元/平米,南北,低层,精装修,经开
37,中海凤凰熙岸,112万,2室2厅1卫,89平米,12584元/平米,南北,低层,精装修,南关
38,新星宇左岸,80万,2室2厅1卫,85.5平米,9357元/平米,东,中层,暂无,高新
39,中海寰宇天下,163万,3室2厅2卫,139.9平米,11651元/平米,南北,中层,豪华装修,经开
40,太阳现代居,246万,4室2厅2卫,224.24平米,10970元/平米,南北,高层,豪华装修,朝阳
41,嘉惠红山郡,95万,2室2厅1卫,92.85平米,10232元/平米,南北,高层,精装修,经开
42,亚泰桂花苑,152万,3室2厅2卫,140平米,10857元/平米,南北,低层,豪华装修,二道
43,万龙第8城,69.8万,2室1厅1卫,72平米,9694元/平米,南北,高层,精装修,宽城
44,亚泰梧桐公馆,95万,2室2厅2卫,120平米,7917元/平米,南,高层,精装修,二道
45,亚泰杏花苑,59.8万,2室2厅1卫,80平米,7475元/平米,西南,高层,精装修,二道
46,南湖新村,174万,2室1厅1卫,72平米,24167元/平米,南北,中层,简装修,朝阳
47,恒盛豪庭,81万,2室2厅1卫,90.4平米,8960元/平米,南北,中层,毛坯,高新
48,怡众名城,155万,3室2厅1卫,115.92平米,13371元/平米,南北,低层,精装修,高新
49,益田枫露,130万,3室2厅2卫,112.09平米,11598元/平米,南北,高层,毛坯,高新
50,财苑家园,99万,3室2厅1卫,114平米,8684元/平米,南北,高层,毛坯,净月
51,像素公园,96万,2室2厅1卫,82.19平米,11680元/平米,南北,低层,精装修,经开
52,万龙原色生活,95万,2室2厅1卫,105平米,9048元/平米,南北,低层,精装修,南关
53,万龙国际城,95万,2室2厅2卫,60平米,15833元/平米,南北,高层,毛坯,宽城
54,远创樾府,108万,2室1厅1卫,85.6平米,12617元/平米,南北,中层,精装修,汽开
55,金达莱家园,74万,2室2厅1卫,100平米,7400元/平米,南北,高层,精装修,绿园
56,浦东明珠,79万,2室1厅1卫,87.26平米,9053元/平米,南北,中层,精装修,经开
57,益田枫露,162万,3室2厅2卫,126.9平米,12766元/平米,南北,中层,精装修,高新
58,咖啡小镇,116万,3室2厅1卫,116.89平米,9924元/平米,南北,中层,精装修,朝阳
59,咖啡小镇,130万,3室2厅2卫,100.1平米,12987元/平米,南北,低层,精装修,朝阳
0,中海国际社区,400万,3室4厅3卫,141.17平米,28335元/平米,南北,高层,豪华装修,净月
1,国盛东润枫景,33万,1室1厅1卫,43平米,7674元/平米,南北,中层,精装修,经开
2,万龙第十城,50万,2室1厅1卫,80平米,6250元/平米,南北,高层,简装修,宽城
3,华宇花园,69.8万,3室1厅1卫,90平米,7756元/平米,东西,低层,精装修,朝阳
4,恒大名都,110万,2室1厅1卫,99平米,11111元/平米,南,中层,豪华装修,高新
5,威尼斯花园,105万,2室1厅1卫,77平米,13636元/平米,南,高层,精装修,朝阳
6,上东街区美一方,60万,2室1厅1卫,54.48平米,11013元/平米,南北,中层,简装修,二道
7,怡众名城,97.6万,2室2厅1卫,80平米,12200元/平米,南北,中层,精装修,高新
8,国信美邑,225万,4室2厅2卫,150平米,15000元/平米,南北,中层,精装修,净月
9,远洋戛纳小镇,108万,3室2厅1卫,101.44平米,10647元/平米,南北,低层,毛坯,净月
10,万科蓝山,180万,3室2厅2卫,153平米,11765元/平米,南北,中层,豪华装修,二道
11,尊誉东方,84万,2室2厅1卫,93平米,9032元/平米,南北,中层,精装修,经开
12,新城吾悦广场,135万,2室2厅1卫,84.9平米,15901元/平米,南北,高层,豪华装修,绿园
13,乐东新村,55万,2室1厅1卫,73平米,7534元/平米,南北,高层,精装修,二道
14,壹克拉公馆,30万,1室1厅1卫,41平米,7317元/平米,南北,中层,精装修,南关
15,大禹华邦,72万,2室1厅1卫,88平米,8182元/平米,南北,中层,精装修,绿园
16,丰和西郡,135万,2室2厅1卫,92.75平米,14555元/平米,南北,高层,精装修,绿园
17,转向机宿舍,49.8万,2室2厅1卫,63平米,7905元/平米,南北,高层,精装修,二道
18,亚泰梧桐公馆,98万,2室1厅1卫,103平米,9515元/平米,南北,中层,精装修,二道
19,中海水岸春城,115万,3室2厅2卫,120平米,9583元/平米,南北,高层,精装修,净月
20,华源公园1号,70万,2室2厅1卫,88平米,7955元/平米,南北,中层,毛坯,宽城
21,亚泰樱花苑,93万,2室2厅1卫,95平米,9789元/平米,南北,中层,精装修,二道
22,亚泰梧桐公馆,135万,2室2厅1卫,90.57平米,14906元/平米,南北,中层,精装修,二道
23,东方之珠龙腾苑,83万,2室2厅1卫,91平米,9121元/平米,南北,中层,精装修,经开
24,吴中印象二期,130万,3室3厅2卫,89.3平米,14558元/平米,东,高层,暂无,宽城
25,龙润福湾国际,33万,2室2厅1卫,90平米,3667元/平米,南北,中层,精装修,宽城
26,虹馆,135万,2室2厅1卫,96.67平米,13965元/平米,南北,低层,毛坯,南关
27,东电小区,110万,3室2厅2卫,135平米,8148元/平米,南北,高层,中装修,南关
28,华侨小区,69万,2室2厅1卫,82平米,8415元/平米,南北,中层,中装修,绿园
29,四五小区,53万,2室1厅1卫,65平米,8154元/平米,南北,高层,精装修,南关
30,吉盛小区,52万,2室1厅1卫,57平米,9123元/平米,西南,中层,精装修,二道
31,中海水岸春城,115万,2室2厅1卫,83.5平米,13772元/平米,南北,低层,精装修,净月
32,保利百合香湾,165万,3室2厅2卫,148平米,11149元/平米,南北,中层,简装修,二道
33,吉盛小区,44万,2室1厅1卫,67平米,6567元/平米,南北,中层,豪华装修,二道
34,吉宇大厦,95万,2室2厅1卫,121.38平米,7827元/平米,南,低层,精装修,南关
35,东安开运福里,102万,3室1厅1卫,96平米,10625元/平米,南,中层,简装修,朝阳
36,嘉惠红山郡,127万,2室2厅1卫,91.25平米,13918元/平米,南北,高层,精装修,经开
37,卓扬北湖湾,103万,2室2厅1卫,91平米,11319元/平米,东,中层,暂无,高新
38,新星宇之悦,68万,2室2厅1卫,70平米,9714元/平米,南北,高层,豪华装修,高新
39,丰和日丽,146万,2室1厅1卫,106平米,13774元/平米,南北,高层,精装修,绿园
40,吉盛花园小区,38万,1室1厅1卫,39.9平米,9524元/平米,南,低层,简装修,二道
41,远洋戛纳小镇,178万,3室2厅2卫,138.29平米,12872元/平米,南北,高层,豪华装修,净月
42,中海国际社区,112万,2室2厅1卫,88.62平米,12638元/平米,南,高层,精装修,净月
43,华润橡树湾,125万,2室2厅1卫,89平米,14045元/平米,南北,低层,精装修,南关
44,长春银座,23万,1室1厅1卫,41平米,5610元/平米,南,低层,中装修,宽城
45,御翠园别墅,320万,4室3厅4卫,227平米,14097元/平米,南,低层,毛坯,净月
46,新星宇观塘,200万,3室2厅2卫,161.85平米,12357元/平米,东,高层,暂无,南关
47,中海水岸春城,147万,3室2厅1卫,124平米,11855元/平米,南北,中层,简装修,净月
48,新奥蓝城,200万,3室2厅2卫,140平米,14286元/平米,东,高层,暂无,绿园
49,万科柏翠园,360万,4室3厅3卫,211.06平米,17057元/平米,南北,低层,简装修,朝阳
50,绿地英湖印象,160万,4室2厅2卫,108.9平米,14692元/平米,南北,高层,精装修,绿园
51,伟峰东樾别墅,1163万,5室2厅5卫,470平米,24745元/平米,南,低层,豪华装修,净月
52,保利罗兰香谷,120万,3室2厅1卫,95平米,12632元/平米,南北,高层,精装修,高新
53,亚泰花园桃花苑,55万,2室1厅1卫,62平米,8871元/平米,南,高层,豪华装修,二道
54,怡众名城,120万,2室2厅1卫,94.1平米,12752元/平米,南北,低层,毛坯,高新
55,新星宇和韵,76万,2室2厅1卫,80.6平米,9429元/平米,南北,高层,精装修,高新
56,桂林小区,112万,3室2厅1卫,121.37平米,9228元/平米,南北,中层,精装修,朝阳
57,郡望安石,70万,2室2厅1卫,63.69平米,10991元/平米,南,高层,精装修,宽城
58,东安加州枫景,148万,3室2厅1卫,107平米,13832元/平米,南北,中层,精装修,净月
59,亚泰杏花苑,72万,2室1厅1卫,81平米,8889元/平米,西,低层,精装修,二道
0,文化局宿舍,39.5万,2室1厅1卫,57.32平米,6891元/平米,南北,高层,精装修,绿园
1,净月环球贸易中心,140万,3室2厅1卫,116.8平米,11986元/平米,南北,中层,豪华装修,净月
2,万通维多利亚湾,75.5万,2室2厅1卫,87.7平米,8609元/平米,南北,中层,精装修,二道
3,解民小区,70万,3室1厅1卫,90平米,7778元/平米,南北,中层,精装修,南关
4,中信城枫丹白露,167.9万,3室2厅2卫,142平米,11824元/平米,东,低层,暂无,净月
5,中天北湾新城,84万,2室2厅1卫,85平米,9882元/平米,南北,中层,毛坯,高新
6,安居北区,72万,3室1厅1卫,89.58平米,8038元/平米,东西,低层,精装修,绿园
7,天茂湖,500万,5室3厅3卫,224.79平米,22243元/平米,暂无,低层,毛坯,高新
8,亚泰梧桐公馆,112万,2室2厅1卫,95.66平米,11708元/平米,南北,中层,精装修,二道
9,锦绣东方,80万,2室2厅1卫,95平米,8421元/平米,南北,中层,精装修,经开
10,新星宇左岸,77万,2室1厅1卫,72平米,10694元/平米,南北,中层,精装修,高新
11,保利罗兰香谷,150万,3室2厅2卫,135平米,11111元/平米,南北,高层,精装修,高新
12,万龙北斗星城,68万,2室1厅1卫,64平米,10625元/平米,南北,中层,简装修,宽城
13,尊誉东方,69.8万,2室2厅1卫,78平米,8949元/平米,南北,中层,精装修,经开
14,富豪花园,50万,2室2厅1卫,70平米,7143元/平米,南北,中层,精装修,朝阳
15,富奥花园C区,79万,2室1厅1卫,98平米,8061元/平米,南北,低层,精装修,净月
16,春草科技新村,88万,2室2厅1卫,98平米,8980元/平米,南北,中层,精装修,绿园
17,中国铁建西派府,143万,3室2厅2卫,140平米,10214元/平米,南北,中层,豪华装修,经开
18,新竹花园,45万,2室2厅1卫,81平米,5556元/平米,南北,高层,中装修,绿园
19,四季阳光,136万,3室2厅1卫,165.92平米,8197元/平米,南北,低层,简装修,南关
20,天富御苑,37.4万,2室2厅1卫,87.9平米,4255元/平米,南北,中层,毛坯,二道
21,新月山庄,99.5万,3室2厅2卫,129平米,7713元/平米,南北,低层,精装修,宽城
22,绿地新里中央公馆,110万,2室2厅1卫,89.38平米,12307元/平米,南北,高层,精装修,南关
23,中海莱茵东郡,285万,4室2厅2卫,189平米,15079元/平米,南北,低层,精装修,净月
24,亚泰樱花苑,190万,3室2厅2卫,160.18平米,11862元/平米,南北,高层,精装修,二道
25,万顺小区,25万,2室1厅1卫,62平米,4032元/平米,南北,高层,精装修,高新
26,新星宇和邑,107万,2室2厅1卫,88.03平米,12155元/平米,南北,低层,豪华装修,经开
27,中信城浅山,270万,4室2厅2卫,171平米,15789元/平米,南北,低层,精装修,净月
28,全安小区,60万,2室1厅1卫,73平米,8219元/平米,南北,中层,简装修,南关
29,维多利亚庄园,260万,4室2厅2卫,215平米,12093元/平米,南北,高层,精装修,朝阳
30,中铁城,65万,2室2厅1卫,82.5平米,7879元/平米,南北,中层,毛坯,汽开
31,春园旭日华庭,70万,2室1厅1卫,65.76平米,10645元/平米,南北,高层,精装修,绿园
32,新星宇左岸,98万,2室2厅1卫,91平米,10769元/平米,南北,中层,精装修,高新
33,亚泰樱花苑,111万,2室2厅1卫,91平米,12198元/平米,南北,中层,精装修,二道
34,源山别院,320万,4室4厅3卫,240平米,13333元/平米,南北,低层,毛坯,净月
35,万科城市之光,84万,1室1厅1卫,65平米,12923元/平米,南,低层,中装修,绿园
36,华荣泰时代COSMO,158万,3室2厅1卫,120.71平米,13089元/平米,南北,低层,精装修,净月
37,彩云间,43万,2室1厅1卫,78平米,5513元/平米,南北,中层,精装修,绿园
38,吴中家天下,79万,2室2厅1卫,65平米,12154元/平米,南北,高层,精装修,二道
39,澳海澜庭,95万,2室2厅1卫,90平米,10556元/平米,南北,低层,精装修,高新
40,力旺康景,73万,2室1厅1卫,73.49平米,9933元/平米,南北,低层,精装修,汽开
41,万豪城,115万,3室2厅1卫,107.25平米,10723元/平米,南北,低层,毛坯,经开
42,中铁城,84万,2室2厅1卫,90平米,9333元/平米,南北,中层,精装修,汽开
43,澳洲佳园,76万,2室1厅1卫,85.42平米,8897元/平米,南北,中层,精装修,南关
44,国信美邑,126万,2室2厅2卫,87平米,14483元/平米,南北,中层,简装修,净月
45,亚泰梧桐公馆,88万,2室2厅1卫,80平米,11000元/平米,南北,低层,精装修,二道
46,首地首城,123万,3室2厅2卫,138.42平米,8886元/平米,南北,中层,精装修,经开
47,中信城浅山,120万,3室2厅2卫,120平米,10000元/平米,南北,高层,精装修,净月
48,万龙北斗星城,106.5万,2室2厅1卫,89平米,11966元/平米,南北,中层,精装修,宽城
49,乐嘉茗园,46.8万,2室1厅1卫,56.21平米,8326元/平米,南北,低层,简装修,宽城
50,安华美郡,38万,1室1厅1卫,50.12平米,7582元/平米,南,高层,精装修,经开
51,锦绣东方,60.5万,2室1厅1卫,77.01平米,7856元/平米,南北,高层,精装修,经开
52,奥体玉园,99万,2室2厅1卫,90平米,11000元/平米,南北,中层,精装修,高新
53,万龙丽水湾,201万,4室2厅1卫,182.56平米,11010元/平米,南,低层,毛坯,高新
54,咖啡小镇,120万,3室2厅1卫,113平米,10619元/平米,南北,高层,简装修,朝阳
55,车城名仕花园,51万,2室1厅1卫,55平米,9273元/平米,南北,中层,精装修,朝阳
56,万鑫花园,85万,2室2厅1卫,95平米,8947元/平米,南北,低层,精装修,绿园
57,亚泰梧桐公馆,118万,2室2厅1卫,135平米,8741元/平米,南北,高层,精装修,二道
58,钻石城,73.8万,2室2厅1卫,87.8平米,8405元/平米,南北,中层,精装修,二道
59,万龙第五城,93.5万,2室2厅1卫,89.64平米,10431元/平米,南北,中层,精装修,宽城
0,华泰世纪新城北区,72万,2室2厅1卫,82平米,8780元/平米,南北,中层,简装修,宽城
1,万龙第十城,50万,2室1厅1卫,80平米,6250元/平米,南北,高层,简装修,宽城
2,天富家园,160万,3室2厅2卫,150平米,10667元/平米,南北,中层,精装修,二道
3,万龙世纪城,118万,2室2厅1卫,105平米,11238元/平米,南北,高层,精装修,经开
4,钻石城,58万,2室1厅1卫,85平米,6824元/平米,南北,中层,精装修,二道
5,诺睿德国际商务广场,89.8万,2室1厅1卫,74.32平米,12083元/平米,南北,低层,精装修,净月
6,羊草沟小区,38万,2室1厅1卫,55平米,6909元/平米,南北,高层,精装修,二道
7,怡众名城,120万,3室2厅2卫,115平米,10435元/平米,南北,高层,中装修,高新
8,中海莱茵东郡,230万,4室2厅2卫,198.93平米,11562元/平米,南北,高层,豪华装修,净月
9,亚泰樱花苑,109万,2室2厅1卫,91平米,11978元/平米,南北,中层,精装修,二道
10,亚泰梧桐公馆,48万,1室1厅1卫,48.22平米,9954元/平米,南,低层,精装修,二道
11,亚泰樱花苑,165万,3室2厅2卫,144.14平米,11447元/平米,南北,高层,精装修,二道
12,怡众名城,96万,2室2厅1卫,82平米,11707元/平米,南北,高层,精装修,高新
13,万龙第十城,53万,2室2厅1卫,86平米,6163元/平米,南北,中层,精装修,宽城
14,市政府宿舍,46.8万,2室1厅1卫,65平米,7200元/平米,南北,高层,简装修,南关
15,中信城浅山,120万,3室2厅2卫,130平米,9231元/平米,南北,中层,豪华装修,净月
16,恒大名都,98万,2室2厅1卫,101平米,9703元/平米,南北,高层,精装修,高新
17,保利香槟,215万,3室2厅2卫,130平米,16538元/平米,南北,中层,豪华装修,净月
18,好景山庄,210万,3室2厅2卫,153.84平米,13651元/平米,南北,高层,精装修,南关
19,经开五区,55万,2室2厅1卫,89平米,6180元/平米,南北,高层,精装修,经开
20,车城名仕花园,52万,2室1厅1卫,53平米,9811元/平米,南北,高层,精装修,朝阳
21,中海凤凰熙岸,115万,2室2厅1卫,89.1平米,12907元/平米,南北,中层,精装修,南关
22,东方之珠龙兴苑,148万,3室2厅1卫,145平米,10207元/平米,南北,高层,精装修,二道
23,万龙丽水湾,170万,3室2厅2卫,140平米,12143元/平米,南,低层,精装修,高新
24,御景名家,105万,2室2厅1卫,86.8平米,12097元/平米,南北,低层,精装修,绿园
25,天嘉水晶城,39.8万,1室1厅1卫,49平米,8122元/平米,南,中层,简装修,绿园
26,蓝调倾城,80万,2室1厅1卫,78平米,10256元/平米,南北,高层,精装修,绿园
27,太阳世家,169万,3室2厅2卫,158.47平米,10664元/平米,东,低层,精装修,南关
28,远创樾府,45万,1室1厅1卫,50平米,9000元/平米,南,中层,精装修,汽开
29,安华美域,69.8万,2室2厅1卫,84.6平米,8251元/平米,南北,中层,精装修,经开
30,阳光水郡,102万,2室2厅1卫,105平米,9714元/平米,南北,中层,毛坯,二道
31,钜城国际中心,140万,3室2厅2卫,116.49平米,12018元/平米,南北,低层,毛坯,南关
32,首地首城,185万,3室2厅2卫,143平米,12937元/平米,南北,高层,精装修,经开
33,电力小区,60万,2室1厅1卫,72平米,8333元/平米,南北,中层,精装修,南关
34,轻铁湖西花园,45万,2室1厅1卫,62平米,7258元/平米,南北,低层,精装修,绿园
35,银湖柳苑,66万,2室1厅1卫,72.71平米,9077元/平米,南,高层,精装修,净月
36,天旺名都,110万,3室2厅1卫,97.8平米,11247元/平米,南北,高层,精装修,高新
37,热电二区,100万,2室2厅1卫,100平米,10000元/平米,南北,高层,豪华装修,二道
38,保利香槟,175万,3室2厅2卫,130.72平米,13387元/平米,南北,低层,豪华装修,净月
39,中海净月华庭,110万,2室2厅1卫,86平米,12791元/平米,南北,中层,豪华装修,净月
40,新星宇和邑,115万,2室2厅1卫,101平米,11386元/平米,南北,低层,精装修,经开
41,至善小区,39万,2室1厅1卫,58平米,6724元/平米,东西,中层,精装修,南关
42,万龙国际城,74万,2室2厅1卫,88平米,8409元/平米,南北,高层,毛坯,宽城
43,中海净月华庭,120万,3室2厅1卫,107.6平米,11152元/平米,南北,中层,豪华装修,净月
44,东城左岸,71万,2室1厅1卫,89平米,7978元/平米,西北,低层,精装修,二道
45,翡翠花溪,130万,2室2厅1卫,97.59平米,13321元/平米,南北,中层,精装修,高新
46,民丰小区,43.2万,2室1厅1卫,55平米,7855元/平米,南北,低层,豪华装修,二道
47,中环十区,40.8万,1室1厅1卫,55平米,7418元/平米,西,低层,精装修,宽城
48,东田青年城,75.1万,2室2厅1卫,77平米,9753元/平米,南,中层,精装修,宽城
49,中海国际社区,105万,2室2厅1卫,88平米,11932元/平米,南北,低层,精装修,净月
50,恒盛豪庭,120万,3室2厅2卫,162平米,7407元/平米,南北,高层,毛坯,高新
51,月伴林湾,47万,1室1厅1卫,53平米,8868元/平米,南北,高层,精装修,经开
52,金穗花园,196万,7室3厅4卫,287.37平米,6820元/平米,南北,高层,精装修,净月
53,中信城中央公园,158万,3室2厅2卫,140平米,11286元/平米,南北,高层,豪华装修,净月
